SKU,Variance
SKU185,74.53570373288682
SKU163,73.99507534718805
SKU161,70.06402048655566
SKU552,50.44577957254018
SKU187,46.04688269476999
SKU424,43.865064512951854
SKU165,41.50684526740868
SKU330,36.25943071013495
SKU104,31.271249876883694
SKU5,23.339998030138887
SKU26,22.57894218457599
SKU415,20.54870481631044
SKU112,18.439180537772096
SKU114,18.369841426179455
SKU111,13.397419481926534
SKU337,11.156899438589575
SKU549,9.462720378213337
SKU696,8.447552447552443
SKU691,7.735447650940606
SKU113,7.257854821235102
SKU413,6.251748251748253
SKU544,3.7957254013592028
SKU456,3.033881611346397
SKU56,2.5870186151876275
SKU408,2.2502708559046587
SKU116,2.0340785974588784
SKU548,1.8508815128533438
SKU547,1.7035359007189985
SKU205,1.3439377523884564
SKU650,0.0
